objid,ra,dec,u,g,r,i,z,class,redshift,velDisp,velDispErr
1237671768542609709,258.358932793321,64.2518940452645,20.47384,18.29918,17.41603,17.01653,16.68015,GALAXY,0.07874574,107,15.89465
1237671939804496277,257.900839241846,64.0166874799528,19.82416,17.75608,16.83812,16.42796,16.09723,GALAXY,0.06997781,188.1271,10.73234
1237671768005673349,258.291523960775,63.8277126124294,20.49697,18.41559,17.48875,17.06874,16.72858,GALAXY,0.08283975,139.9022,9.958753
1237671768542544330,258.095659977437,64.1412793868674,18.59752,17.57762,17.20822,16.87209,16.74444,GALAXY,0.07523879,94.80971,14.75956
1237671939804627102,258.355554303881,63.9787089585189,19.92751,18.08183,17.18699,16.78335,16.50584,GALAXY,0.0792018,111.9721,7.943333
1237671939804627245,258.292612309979,63.9851740757582,19.66714,17.78588,16.86175,16.43889,16.12722,GALAXY,0.08151872,163.4998,9.535473
1237671768542609551,258.151119793024,64.3090933783216,19.67842,18.32302,17.7451,17.44568,17.24481,GALAXY,0.07568971,93.60835,24.30037
1237671768542609695,258.398673866977,64.1341595891265,19.36618,17.61236,16.75655,16.38103,16.07489,GALAXY,0.07794407,98.4753,8.717437
1237671939804626961,258.333247306438,64.0568120668087,19.87783,17.77312,16.80273,16.35117,16.02887,GALAXY,0.07682644,174.9872,8.248573
1237671939804561826,258.004094698905,64.0378606119499,19.46458,17.47298,16.59492,16.19074,15.90661,GALAXY,0.07503507,134.7215,5.962796
1237671939804496253,257.870543111855,63.9801808162399,18.61349,17.1645,16.48614,16.09869,15.83024,GALAXY,0.07125111,110.5879,8.758286
1237671939804561802,258.004787885392,63.9804504350853,20.66481,18.39905,17.43309,17.00694,16.70487,GALAXY,0.0827786,120.8339,10.49999
1237671939804561959,258.203283155123,63.9380327133758,20.10296,18.26465,17.52566,17.15413,16.96816,GALAXY,0.07064625,81.96274,8.794595
1237671768005738755,258.332803332911,63.9078765024721,18.63644,17.33801,16.71284,16.30608,16.0166,GALAXY,0.0904562,98.2576,11.08275
1237671768005607783,257.897184006183,63.8384861770581,19.46715,17.69332,16.81774,16.39525,16.07894,GALAXY,0.07476436,141.5025,7.347339
1237671768542478713,257.833374557646,64.1260583955848,20.22462,18.37816,17.46331,17.0468,16.69729,GALAXY,0.08121841,153.1445,7.650796
1237671939804561434,258.027780464136,64.0403884159567,19.85105,17.79624,16.6603,16.17377,15.86092,GALAXY,0.15091,223.7524,9.65917
1237671768542544423,258.158749665964,64.2416916265102,19.19582,17.29216,16.42649,16.03142,15.68442,GALAXY,0.07603376,143.7422,6.300006
1237671768005673329,258.257656404653,63.8484337801257,19.25227,18.37997,18.08699,17.73308,17.6678,GALAXY,0.07885905,57.68333,28.95009
1237671939804627483,258.432063199594,64.1236756444528,20.09526,18.16306,17.27717,16.8553,16.54268,GALAXY,0.08079002,120.7941,8.871758
1237671939804561691,258.304834907276,63.9361404847821,20.35222,18.36506,17.32276,16.78453,16.39251,GALAXY,0.1195384,170.8614,11.64653
1237671939804627279,258.303782078456,64.028781107508,19.64469,17.67819,16.78151,16.36257,16.03446,GALAXY,0.07704972,177.6937,7.855961
1237671939804561680,258.303147950507,63.9277410765653,19.88042,18.04381,17.06294,16.64576,16.32234,GALAXY,0.1194283,135.6716,10.05737
1237671768542609598,258.260831979422,64.1810803552143,19.76519,17.9705,17.20006,16.77857,16.46599,GALAXY,0.08332969,87.93005,12.44693
1237671768542544203,257.956660990123,64.1682091619386,20.34453,18.23796,17.37415,17.0127,16.6919,GALAXY,0.07728186,119.4813,9.429687
1237671939804561470,258.208366383736,64.0529482205171,19.22208,17.00105,16.03318,15.59466,15.34225,GALAXY,0.07399382,221.4417,7.456939
1237671939804561468,258.096472713234,64.0325247558209,19.74413,17.56668,16.5453,16.11852,15.78846,GALAXY,0.07981008,235.0017,5.987273
1237671768542544239,258.02863539221,64.1421990207149,19.65694,17.98155,17.41032,16.9697,16.73729,GALAXY,0.08237245,123.5718,7.532227
1237671939804561862,258.029198583189,64.0554908617312,19.4303,17.4287,16.4969,16.06833,15.74951,GALAXY,0.08279845,200.6262,6.919732
1237671768005673218,258.095977831647,63.8182735810056,19.53644,18.401,17.70374,17.29995,17.02141,GALAXY,0.1507236,119.0694,16.05589
1237671768005738781,258.425438343858,63.7795064441524,19.27897,17.33293,16.36155,15.89076,15.53081,GALAXY,0.08173296,235.0882,8.534426
1237671939804627741,258.428037854245,64.0059605693275,21.68979,20.77254,19.41151,18.59594,18.26055,GALAXY,0.4572785,258.9772,34.96902
1237671940341432797,258.106968003936,64.3293506058887,18.27605,16.38559,15.50226,15.11377,14.78014,GALAXY,0.07702344,208.3217,6.675756
1237671768542544090,257.851414372449,64.173261438379,19.21572,17.18604,16.22231,15.76938,15.40419,GALAXY,0.07956772,210.8374,7.554022
1237671939804627451,258.429071060639,64.0819603512709,19.0334,16.84672,15.86724,15.42686,15.06305,GALAXY,0.08464299,267.1161,7.308032
1237671939804627453,258.431210516521,64.0838474259222,19.90739,18.12648,17.41032,16.98368,16.74287,GALAXY,0.09021114,73.45398,17.39207
1237671940341432844,258.110067742496,64.3896273705725,19.79108,17.89001,16.98985,16.57732,16.25698,GALAXY,0.07820746,146.0968,7.922394
1237671939804561491,258.109779747288,64.082119760561,21.07705,18.82711,17.85458,17.41082,17.12147,GALAXY,0.07948642,144.0907,9.829556
1237671939804561472,258.170986933579,64.0726965378591,19.24469,17.0818,16.12346,15.65043,15.33794,GALAXY,0.08358134,224.4851,7.444256
1237671939804627412,258.366193983496,64.1225559913856,20.80474,18.56931,17.6598,17.2403,16.93112,GALAXY,0.07763089,129.2553,8.794295
1237671768005673264,258.179056873148,63.8096391300519,18.26756,17.12012,16.75068,16.44806,16.34267,GALAXY,0.07493126,81.32705,14.52955
1237671939804561999,258.230950983658,64.032409038412,19.74761,18.29159,17.63881,17.27,17.15743,GALAXY,0.08127932,58.69021,19.63893
1237671768542544371,258.102159160897,64.2667302490239,18.29574,16.58031,15.78891,15.36448,14.99251,GALAXY,0.05511802,127.2381,6.154871
1237671768542544319,258.034474609021,64.2813591614946,18.45807,16.45671,15.53412,15.11378,14.7614,GALAXY,0.07656566,227.7516,6.502051
1237671939804561897,258.033474299166,64.0973831372916,19.9587,18.12499,17.24801,16.83678,16.53232,GALAXY,0.07967802,112.952,7.958426
